"lon","lat"
7.5,43.7746576906646
7.49825,43.772889
7.497361,43.772861
7.494056,43.769556
7.493194,43.769556
7.492417,43.76875
7.491556,43.76875
7.487389,43.764556
7.486611,43.764611
7.483611,43.761667
7.483694,43.758333
7.486611,43.755417
7.487389,43.755417
7.487806,43.755028
7.487806,43.751639
7.486583,43.750444
7.481528,43.750417
7.480722,43.751222
7.479056,43.75125
7.47825,43.752083
7.474083,43.752111
7.472444,43.753722
7.471583,43.753778
7.468667,43.756667
7.468639,43.7575
7.46825,43.757917
7.467389,43.757889
7.466556,43.75875
7.465694,43.758722
7.464083,43.760417
7.462417,43.760389
7.461611,43.76125
7.454917,43.761278
7.454056,43.760389
7.452389,43.760444
7.452028,43.760028
7.451972,43.759167
7.451111,43.758306
7.451139,43.7575
7.449917,43.756222
7.449028,43.756222
7.448278,43.755417
7.447417,43.755389
7.446528,43.754583
7.445778,43.754583
7.443222,43.752083
7.442444,43.752083
7.441583,43.75125
7.440722,43.75125
7.440333,43.750833
7.440361,43.749972
7.439917,43.749583
7.439028,43.749556
7.437417,43.747889
7.436556,43.747861
7.43575,43.748722
7.432444,43.748722
7.430278,43.746694
7.430333,43.741667
7.429944,43.741278
7.429083,43.74125
7.428222,43.740389
7.427361,43.740361
7.426528,43.739556
7.423222,43.739583
7.422444,43.73875
7.421583,43.73875
7.421111,43.738333
7.421139,43.737472
7.422361,43.73625
7.423167,43.737056
7.426583,43.737111
7.427806,43.735861
7.427833,43.735
7.424056,43.731222
7.422417,43.731222
7.421528,43.732056
7.420722,43.732056
7.419917,43.732889
7.417389,43.732917
7.416556,43.732111
7.41575,43.732083
7.408611,43.725028
7.408639,43.724167
7.406556,43.722083
7.389056,43.722111
7.387833,43.723361
7.387833,43.724167
7.386611,43.725389
7.38575,43.724583
7.380722,43.724556
7.37825,43.722083
7.377389,43.722056
7.375694,43.720389
7.374917,43.720417
7.374083,43.719556
7.370722,43.719556
7.369056,43.721194
7.368278,43.72125
7.367389,43.722028
7.366583,43.722083
7.364889,43.723722
7.36325,43.72375
7.362333,43.724583
7.361556,43.724583
7.360722,43.723778
7.356611,43.723778
7.355778,43.722889
7.354917,43.722889
7.354056,43.722083
7.352389,43.722111
7.352028,43.721639
7.351972,43.720833
7.351111,43.720028
7.351167,43.718306
7.350778,43.717917
7.349917,43.717944
7.349083,43.717083
7.346556,43.717111
7.345694,43.71625
7.344889,43.716222
7.344083,43.715417
7.342417,43.715444
7.341583,43.714583
7.339917,43.714556
7.339083,43.71375
7.338194,43.713722
7.337444,43.712917
7.336583,43.712889
7.335361,43.711611
7.335278,43.708306
7.332444,43.705417
7.331583,43.705389
7.330361,43.704167
7.330333,43.701667
7.33075,43.701278
7.331583,43.701222
7.331944,43.700833
7.331972,43.700028
7.332861,43.699194
7.332806,43.695
7.334917,43.692917
7.336583,43.692889
7.337389,43.692111
7.339917,43.692083
7.341611,43.690389
7.34325,43.690417
7.344028,43.691278
7.346556,43.691194
7.347361,43.690417
7.348222,43.690417
7.348722,43.689972
7.348667,43.689167
7.348278,43.688778
7.347417,43.68875
7.346556,43.687889
7.344889,43.687917
7.344056,43.687056
7.343194,43.687028
7.341583,43.685417
7.340806,43.685389
7.338222,43.687944
7.337444,43.687056
7.336583,43.687056
7.336167,43.6875
7.336139,43.688306
7.334944,43.689611
7.334472,43.689139
7.334528,43.681639
7.332444,43.679556
7.331583,43.679611
7.33075,43.67875
